site,source,isbn,title,authors
eksmo,https://eksmo.ru/book/startapy-professionalnye-igry-kremnievoy-doliny-ITD89335/,978-5-699-51160-0,Стартапы: профессиональные игры Кремниевой долины,
labirint,https://www.labirint.ru/books/68248/,978-5-89173-994-9,Русско-китайский разговорник,"Виктория Плюс, 2023"
eksmo,https://eksmo.ru/book/klubnichnyy-vkus-izmeny-ITD89340/,978-5-699-51134-1,Клубничный вкус измены,Арсеньева Е.
eksmo,https://eksmo.ru/book/deva-zodiakalnyy-prognoz-na-2012-god-ITD89343/,978-5-699-51455-7,Дева. Зодиакальный прогноз на 2012 год,Глоба П.П.
igra_slov,https://igraslov.store/product/faulz-d-kukolka-eksmo-magistral-klap/,978-5-04-160741-8,Фаулз Д. Куколка,Сафронов А.А.; Серебряная О.
labirint,https://www.labirint.ru/books/68249/,978-5-7062-0147-0,Русско-немецкий разговорник,"Виктория Плюс, 2015"
eksmo,https://eksmo.ru/book/izumitelnye-vizualnye-illyuzii-vy-ne-poverite-svoim-glazam-ITD89341/,978-5-699-50527-2,Изумительные визуальные иллюзии. Вы не поверите своим глазам!,"Пристер Г.У., Левайн Дж."
eksmo,https://eksmo.ru/book/lyubov-meksikanskogo-syshchika-ITD89345/,978-5-699-51215-7,Любовь мексиканского сыщика,Александрова Н.Н.
igra_slov,https://igraslov.store/product/dostoevskij-f-unizhennye-i-oskorblennye-ast-eksklass-myagk/,978-5-17-093725-7,Достоевский Ф. Униженные и оскорбленные,АСТ
labirint,https://www.labirint.ru/books/68255/,978-5-7062-0149-4,Русско-французский разговорник: И.В. Лисовская,Лисовская И.В.
eksmo,https://eksmo.ru/book/lev-zodiakalnyy-prognoz-na-2012-god-ITD89349/,978-5-699-51457-1,Лев. Зодиакальный прогноз на 2012 год,Глоба П.П.
eksmo,https://eksmo.ru/book/origami-polnaya-illyustrirovannaya-entsiklopediya-cd-ITD89350/,978-5-699-51336-9,Оригами. Полная иллюстрированная энциклопедия (+CD),Коротеев И.А.
igra_slov,https://igraslov.store/product/dashevskaya-n-shkola-shryodingera-samokat-myagk/,978-5-00167-610-2,Дашевская Н. Школа Шрёдингера,Нина Дашевская
labirint,https://www.labirint.ru/books/68258/,978-5-7062-0165-4,Русско-японский разговорник. Более 2 500 слов и выражений,"Виктория Плюс, 2023"
eksmo,https://eksmo.ru/book/kozerog-zodiakalnyy-prognoz-na-2012-god-ITD89348/,978-5-699-51456-4,Козерог. Зодиакальный прогноз на 2012 год,Глоба П.П.
eksmo,https://eksmo.ru/book/zhelat-nevozmozhnogo-ITD89357/,978-5-699-51413-7,Желать невозможного,Островская Е.
igra_slov,https://igraslov.store/product/dante-aligeri-bozhestvennaya-komediya-ast-eksklass-myagk/,978-5-17-100180-3,Данте Алигьери. Божественная Комедия,Минаев Д.
eksmo,https://eksmo.ru/book/plyushevyy-lyubovnik-ITD89352/,978-5-699-51135-8,Плюшевый любовник,Хрусталева И.
labirint,https://www.labirint.ru/books/68281/,978-5-94455-413-0,Боги и герои Древней Греции. Словарик школьника: Ольга Ушакова,Ушакова Ольга Дмитриевна
igra_slov,https://igraslov.store/product/markes-g-lyubov-vo-vremya-chumy-ast-eksklass-myagk/,978-5-17-092007-5,Маркес Г. Любовь во время чумы,Синянская Л.
eksmo,https://eksmo.ru/book/rak-zodiakalnyy-prognoz-na-2012-god-ITD89358/,978-5-699-51460-1,Рак. Зодиакальный прогноз на 2012 год,Глоба П.П.
labirint,https://www.labirint.ru/books/68284/,978-5-9573-0519-4,Гепатит. Современный взгляд на лечение и профилактику: Александр Мигунов,Мигунов Александр Иванович
eksmo,https://eksmo.ru/book/oven-zodiakalnyy-prognoz-na-2012-god-ITD89354/,978-5-699-51458-8,Овен. Зодиакальный прогноз на 2012 год,Глоба П.П.
eksmo,https://eksmo.ru/book/o-ty-poslednyaya-lyubov--ITD89355/,978-5-699-51614-8,"О ты, последняя любовь...",Тютчев Ф.И.
igra_slov,https://igraslov.store/product/hamfris-m-skorost-mysli-grandioznoe-puteshestvie-skvoz-mozg-za-2-1-sekundy-individuum-myagk/,978-5-6046877-3-4,"Хамфрис. М. Скорость мысли. Грандиозное путешествие сквозь мозг за 2,1 секунды",Марк Хамфрис
eksmo,https://eksmo.ru/book/ryby-zodiakalnyy-prognoz-na-2012-god-ITD89360/,978-5-699-51461-8,Рыбы. Зодиакальный прогноз на 2012 год,Глоба П.П.
labirint,https://www.labirint.ru/books/68614/,978-5-7755-0939-2,"Менеджмент. Учебное пособие по элективному курсу для 8-9 классов. Предпрофильная подготовка учащихся: Тесленко, Федин, Федина","Тесленко Ирина Борисовна, Федин Сергей Владимирович, Федина Наталия Валерьевна"
igra_slov,https://igraslov.store/product/baron-koen-s-iskateli-zakonomernostej-kak-autizm-sposobstvuet-chelovecheskoj-izobretatelnosti-alpina-myagk/,9785001398004,Барон-Коэн С. Искатели закономерностей: Как аутизм способствует человеческой изобретательности,Саймон Барон-Коэн
eksmo,https://eksmo.ru/book/volshebnaya-missiya-ITD89363/,978-5-699-51242-3,Волшебная миссия,Беленкова К.
eksmo,https://eksmo.ru/book/kon-s-rozovoy-grivoy-rasskazy-ITD89362/,978-5-699-51235-5,Конь с розовой гривой. Рассказы,Астафьев В.
igra_slov,https://igraslov.store/product/zhid-a-podzemelya-vatikana-ast-eksklass-myagk/,978-5-17-133080-4,Жид А. Подземелья Ватикана,Андре Жид
labirint,https://www.labirint.ru/books/68670/,978-5-408-00625-0,География. 7 класс. Поурочные разработки. Пособие для учителя. ФГОС: Елена Жижина,Жижина Елена Александровна
eksmo,https://eksmo.ru/book/moy-volshebnyy-rukodelnyy-klub-ITD89368/,978-5-699-43643-9,Мой волшебный рукодельный клуб,Лаптева Т.Е.
eksmo,https://eksmo.ru/book/strelets-zodiakalnyy-prognoz-na-2012-god-ITD89366/,978-5-699-51463-2,Стрелец. Зодиакальный прогноз на 2012 год,Глоба П.П.
igra_slov,https://igraslov.store/product/kavabata-yasunari-ston-gory-ast-eksklass-myagk/,978-5-17-160105-8,Кавабата Ясунари. Стон горы,Ясунари Кавабата
eksmo,https://eksmo.ru/book/skorpion-zodiakalnyy-prognoz-na-2012-god-ITD89364/,978-5-699-51462-5,Скорпион. Зодиакальный прогноз на 2012 год,Глоба П.П.
igra_slov,https://igraslov.store/product/hoking-s-chernye-dyry-i-molodye-vselennye-ast-eksklass-myagk/,978-5-17-152866-9,Хокинг С. Черные дыры и молодые вселенные,Стивен Хокинг
labirint,https://www.labirint.ru/books/68698/,978-5-3590-1264-5,Война народная. Великая Отечественная война 1941-1945: Яков Нерсесов,Нерсесов Яков Николаевич
labirint,https://www.labirint.ru/books/68712/,978-5-360-02399-9,Учимся читать выразительно. 2-4 классы. Учебное пособие. ФГОС: Маргарита Оморокова,Оморокова Маргарита Ивановна
eksmo,https://eksmo.ru/book/skvoznyaki-pervaya-missiya-povelitel-illyuziy-ledyanoy-rytsar-ITD89370/,978-5-699-51400-7,СКВОЗНЯКИ. Первая миссия. Повелитель Иллюзий. Ледяной рыцарь,Леванова Т.С.
eksmo,https://eksmo.ru/book/telets-zodiakalnyy-prognoz-na-2012-god-ITD89372/,978-5-699-51464-9,Телец. Зодиакальный прогноз на 2012 год,Глоба П.П.
igra_slov,https://igraslov.store/product/melamed-v-mashineriya-portreta-opyt-zritelya-prepodavatelya-i-hudozhnika-admarginem-klap/,978-5-91103-589-1,"Меламед В. Машинерия портрета. Опыт зрителя, преподавателя и художника",Виктор Меламед
eksmo,https://eksmo.ru/book/kak-nauchitsya-zhit-polnotsennoy-zhiznyu-chto-schastlivye-i-uspeshnye-zhenshchiny-delayut-inache-ITD89373/,978-5-699-47862-0,Как научиться жить полноценной жизнью. Что счастливые и успешные женщины делают иначе,Маркус Б.
labirint,https://www.labirint.ru/books/68799/,978-5-9949-0309-4,"Игровые занятия с детьми от 1 до 3 лет. Методическое пособие для педагогов и родителей: Маханева, Рещикова","Маханева Майя Давыдовна, Рещикова Светлана Владимировна"
eksmo,https://eksmo.ru/book/zagadka-podslushannykh-razgovorov-ITD89375/,978-5-699-50626-2,Загадка подслушанных разговоров,"Иванов А., Устинова А."
igra_slov,https://igraslov.store/product/mo-yan-krasnyj-gaolyan-eksmo-inspiria-myagk/,978-5-04-208769-1,Мо Янь. Красный гаолян,Мо Янь
eksmo,https://eksmo.ru/book/kak-izmenit-lyubogo-cheloveka-ITD89378/,978-5-699-47867-5,Как изменить любого человека,
eksmo,https://eksmo.ru/book/sekret-dragotsennogo-musora-neveroyatnoe-vezenie-ITD89383/,978-5-699-50699-6,Секрет драгоценного мусора. Невероятное везение,Вильмонт Е.Н.
