site,source,isbn,title,authors
labirint,https://www.labirint.ru/books/73007/,9785001602125,"Хлеб в картинках. Наглядное пособие для педагогов, логопедов, воспитателей и родителей","Гном, 2021"
labirint,https://www.labirint.ru/books/73006/,978-5-00160-700-7,"Фрукты. Какие они? Книга для воспитателей, гувернеров и родителей: Татьяна Шорыгина",Шорыгина Татьяна Андреевна
labirint,https://www.labirint.ru/books/73011/,5-296-00348-9,"Цветы в картинках. Наглядное пособие для педагогов, логопедов, воспитателей и родителей","Гном, 2024"
labirint,https://www.labirint.ru/books/73012/,9785907195295,"Цветы. Какие они? Книга для воспитателей, гувернеров и родителей: Татьяна Шорыгина",Шорыгина Татьяна Андреевна
labirint,https://www.labirint.ru/books/73024/,9785001602118,"Ягоды в картинках. Наглядное пособие для педагогов, логопедов, воспитателей и родителей","Гном, 2023"
labirint,https://www.labirint.ru/books/73037/,532400304-2,Древний Рим: Борис Деревенский,Деревенский Борис Георгиевич
labirint,https://www.labirint.ru/books/73026/,978-5-00160-705-2,"Ягоды. Какие они? Книга для воспитателей, гувернеров и родителей: Татьяна Шорыгина",Шорыгина Татьяна Андреевна
labirint,https://www.labirint.ru/books/73427/,5-7804-0243-4,Дневник наблюдений. 2 класс,"РОСТкнига, 2014"
labirint,https://www.labirint.ru/books/73038/,532400007-8,Пираты: Григорий Крылов,Крылов Григорий Александрович
labirint,https://www.labirint.ru/books/73541/,985-483-432-8,Как выйти замуж через интернет: Юлия Людмилина,Людмилина Юлия
labirint,https://www.labirint.ru/books/73573/,5-483-00090-0,Клуб серийных убийц: Джефф Пови,Пови Джефф
labirint,https://www.labirint.ru/books/73542/,985-483-496-4,Развивающие игры для двухлетних детей: Джеки Силберг,Силберг Джеки
labirint,https://www.labirint.ru/books/73574/,5-94278-816-2,Американский пирог: Майкл Уэст,Уэст Майкл Ли
labirint,https://www.labirint.ru/books/73575/,985-483-422-0,Убираем живот за 8 минут утром: Хорхе Круз,Круз Хорхе
